time,phoneme,F1,F2,F3
0.5656539322881649,,481.840067699744,1621.5989473634577,2658.8553935663886
1.1804816069477724,/a/,631.947427087274,1189.4328490651428,2510.937598216685
1.272682373894227,,428.6474842763583,906.4571182640964,2414.4419141446265
1.3587364230442514,/o/,453.3958510230215,737.7285126984611,2427.2793456615964
1.4232769599067696,,485.34860508480756,949.1835650511489,2380.1648993003964
1.4847441378710728,/o/,515.679748758254,1045.0989891654115,2513.6128960739757
2.4866591386892134,,467.20988474847763,1563.2032430864087,2781.2086629524256
3.500867575100215,/a/,614.0411987332051,1218.976076721985,2469.46477881976
3.611508495435961,,472.1976544214155,1106.3032333953354,2478.733476116228
3.706782621280631,/o/,452.826918907708,776.7841481309252,2510.4779199106897
3.7774698759395795,,462.54229288109025,1117.6066380452282,2517.647924078635
3.860450566191388,/o/,509.5296948465117,1011.8096802208642,2603.7533154629105
4.859292208111314,,339.07465378702824,1368.547988793474,2483.4901922383633
5.855060491133025,/a/,623.1908617971817,1281.1614741180408,2528.878779484299
5.9626280525705555,,790.0390113523686,1086.5286806920617,2530.873271749572
6.051755460618795,/o/,453.5444014504456,802.9475178731478,2435.7066992225487
6.113222638583098,,442.8534917937378,1105.311061368659,2469.8500777986637
6.190056611038477,/o/,465.36555041937953,1030.6713803853136,2584.3551599687303
6.857131386967742,,301.4030605695189,1557.5851793159202,2729.273634692332
