time,phoneme,F1,F2,F3,,
3.533799778,/i/,428.5414147,3091.161421,3376.770319,,
4.362695551,/ɶ/,665.4209691,1626.964703,2087.029163,,
4.775783797,/θ/,632.2242688,1041.028296,2891.749178,,
4.932275895,/a/,896.0837415,932.6363162,1780.198048,,
5.099270819,/i/,443.1667722,2848.108905,3248.218916,,
1.004846244,/θ/,443.0546575,868.5732211,2050.645723,,
1.184377544,/a/,1016.809729,1520.366175,2715.183523,,
1.400937715,/ʌ/,674.5275761,1120.410763,1571.35676,,
1.669078773,/ɶ/,631.5258274,1656.250214,1892.454749,,
2.627911878,/θ/,893.8060517,1243.408932,3042.67382,,
2.738706273,/a/,922.3117007,1823.468299,2869.193819,,
2.974260744,/ʌ/,329.3236708,897.5197236,1962.233575,,
3.155814585,/ɶ/,659.4977733,1352.31124,1933.486238,,
4.056476852,/θ/,547.1627559,1018.562631,2998.119866,,
4.217547696,/a/,891.895048,1642.764279,2390.502135,,
4.40841199,/ʌ/,934.4776834,1633.615825,3210.502463,,
4.681208274,/ɶ/,620.3212215,1388.939978,2163.5122,,
1.216338745,/ɶ/,621.0649024,1741.303633,2401.459167,,
1.489527323,/θ/,527.5899593,1006.978728,2969.968137,,
1.701169968,/a/,1025.78975,1042.255378,1719.799008,,
1.956034877,/a/,709.7358919,895.7332963,2309.263815,,
2.135020497,/ɞ/,433.5443366,2132.157386,2973.827909,,
3.126523053,/ɶ/,606.7842418,1562.381609,1663.877431,,
3.415412124,/θ/,614.3755314,1082.715942,2979.400739,,
3.622658631,/a/,980.3634958,1605.192773,2628.878794,,
3.864659338,/a/,660.5779763,1293.17989,2348.746459,,
4.031084563,/ɞ/,549.4031392,880.5519543,1962.646019,,
4.896921965,/ɶ/,621.6925184,1611.471995,3170.431639,,
5.200883509,/θ/,613.8365299,1092.251301,2899.351867,,
5.383637247,/a/,973.7114749,1541.689863,2730.081079,,
5.668515602,/a/,426.3988492,2715.377175,3328.070443,,
5.807156056,/ɞ/,490.0927313,920.0818761,2129.981038,,
1.149097056,/ɶ/,533.3373839,1896.761393,2937.647924,,
1.500285038,/i/,662.3648971,2903.82354,3312.709507,,
1.683732069,/u/,506.5609932,851.6111199,2662.429359,,
1.899219507,/a/,841.279891,1266.985857,1912.870487,,
2.151145054,/a/,718.9510333,1385.011175,1913.523075,,
3.06664402,/ɶ/,486.7936551,1399.393385,1892.415974,,
3.397099974,/i/,739.217676,2933.253521,3329.945389,,
3.599394303,/u/,481.9846976,829.3422227,2539.315225,,
3.770904712,/a/,767.2475613,1183.558293,1802.777756,,
