time,phoneme,F1,F2,F3
0.5449435020086375,,923.6601397214378,1815.8519341353667,2812.7306119653013
1.1146465424887035,/e/,508.7346826714969,2531.829230299992,3233.706021387995
1.3090447910094194,,1135.2044678460225,2339.4730515820766,3330.009451076749
1.5111792751180892,/u/,363.68250245642497,612.7510438626763,1488.2360283333871
1.5780823393579948,,305.5602477514606,2017.6486924581427,2319.831399852701
1.650719951961321,/i/,440.8246842255428,867.1145015051136,2672.8580173372616
2.136831590459438,,995.616129885691,1730.820354099635,2769.484784285211
2.662129309440928,/a/,1126.832813037836,1226.9249212394118,1704.4538621913564
3.0625073950009383,,1176.1854471662734,1945.5181292955074,3034.7956063720612
3.415097577532444,/e/,469.52445172651267,2750.8287614448886,3307.848052423283
3.60433767352532,,1915.928741119259,2553.9982263824786,3185.7614879357902
3.8031353501238967,/u/,450.7105504295491,1388.4320482816008,2980.3579990165485
3.93254050198397,,392.69484294517093,949.6190543784979,2623.46054610311
4.057166863541193,/i/,751.8467239905178,3112.091303003991,3520.6878595141507
4.428903254340739,,755.122918398199,1659.503324780478,2466.1623064761743
4.832179661139097,/a/,948.2820428711179,1246.4257878662436,1764.6522815803191
5.191544691913448,,979.9095919366836,1954.3758466896018,2787.9260791031047
5.512679400264995,/e/,474.09170274855086,2527.591090420278,2843.812740979761
5.678981302804189,,554.1329932276828,1283.8033983322073,2355.565418073461
5.853885027888514,/u/,421.8834248725982,1240.6687394993885,3341.042137661743
5.9685759951569235,,344.725339411469,786.7759769437175,2349.9611283540385
6.087089994667613,/i/,328.34480760801694,557.5790140341473,3151.044825493757
6.459534283952717,,981.2243813576695,2292.3870985053545,2945.5776456240305
